beta0 beta1 loggap
-0.4375 -1.95 0.6631486592
-0.4375 -1.9 0.6519751321
-0.4375 -1.85 0.6405511794
-0.4375 -1.8 0.6288685571
-0.4375 -1.75 0.6169190041
-0.4375 -1.7 0.6046943269
-0.4375 -1.65 0.592186505
-0.4375 -1.6 0.5793878228
-0.4375 -1.55 0.5662910302
-0.4375 -1.5 0.5528895386
-0.4375 -1.45 0.5391776543
-0.4375 -1.4 0.5251508558
-0.4375 -1.35 0.5108061157
-0.4375 -1.3 0.4961422689
-0.4375 -1.25 0.4811604234
-0.4375 -1.2 0.4658644043
-0.4375 -1.15 0.4502612125
-0.4375 -1.1 0.4343614663
-0.4375 -1.05 0.4181797764
-0.4375 -1 0.4017349825
-0.4375 -0.95 0.3850501497
-0.4375 -0.9 0.3681521954
-0.4375 -0.85 0.3510709901
-0.4375 -0.8 0.3338377635
-0.4375 -0.75 0.3164826715
-0.4375 -0.7 0.2990314517
-0.4375 -0.65 0.2815012533
-0.4375 -0.6 0.2638959609
-0.4375 -0.55 0.2462016165
-0.4375 -0.5 0.2283827783
-0.4375 -0.45 0.2103806681
-0.4375 -0.4 0.1921136055
-0.4375 -0.35 0.1734794772
-0.4375 -0.3 0.154359163
-0.4375 -0.25 0.1346194712
-0.4375 -0.2 0.1141147272
-0.4375 -0.15 0.09268758455
-0.4375 -0.1 0.07017099953
-0.4375 -0.05 0.04639343793
-0.4375 0 0.02118773898
-0.4375 0.05 -0.005598541272
-0.4375 0.1 -0.03409517574
-0.4375 0.15 -0.06440679056
-0.4375 0.2 -0.09661589299
-0.4375 0.25 -0.1307880838
-0.4375 0.3 -0.1669747909
-0.4375 0.35 -0.2052103221
-0.4375 0.4 -0.2455031844
-0.4375 0.45 -0.2878243811
-0.4375 0.5 -0.3320962211
-0.4375 0.55 -0.3781839478
-0.4375 0.6 -0.4258903365
-0.4375 0.65 -0.4749516691
-0.4375 0.7 -0.525032917
-0.4375 0.75 -0.5757205012
-0.4375 0.8 -0.6265122657
-0.4375 0.85 -0.6768059374
-0.4375 0.9 -0.7258892005
-0.4375 0.95 -0.7729364602
-0.4375 1 -0.8170190762
-0.4375 1.05 -0.8571364637
-0.4375 1.1 -0.892273645
-0.4375 1.15 -0.9214852501
-0.4375 1.2 -0.9439966264
-0.4375 1.25 -0.9593024187
-0.4375 1.3 -0.9672372517
-0.4375 1.35 -0.9679972335
-0.4375 1.4 -0.9621051712
-0.4375 1.45 -0.9503302202
-0.4375 1.5 -0.933585068
-0.4375 1.55 -0.9128255282
-0.4375 1.6 -0.8889702488
-0.4375 1.65 -0.8628478011
-0.4375 1.7 -0.83516983
-0.4375 1.75 -0.8065243188
-0.4375 1.8 -0.7773819247
-0.4375 1.85 -0.7481093236
-0.4375 1.9 -0.7189852139
-0.4375 1.95 -0.6902162846
-0.4375 2 -0.6619517143
-0.38125 -2 0.6663530092
-0.38125 -1.95 0.6552073581
-0.38125 -1.9 0.6438082105
-0.38125 -1.85 0.6321466037
-0.38125 -1.8 0.6202134257
-0.38125 -1.75 0.6079994773
-0.38125 -1.7 0.5954955511
-0.38125 -1.65 0.5826925339
-0.38125 -1.6 0.5695815337
-0.38125 -1.55 0.5561540382
-0.38125 -1.5 0.542402109
-0.38125 -1.45 0.5283186156
-0.38125 -1.4 0.5138975165
-0.38125 -1.35 0.4991341877
-0.38125 -1.3 0.4840258042
-0.38125 -1.25 0.4685717691
-0.38125 -1.2 0.4527741847
-0.38125 -1.15 0.4366383487
-0.38125 -1.1 0.4201732441
-0.38125 -1.05 0.4033919768
-0.38125 -1 0.3863120874
-0.38125 -0.95 0.3689556367
-0.38125 -0.9 0.3513489318
-0.38125 -0.85 0.3335217307
-0.38125 -0.8 0.3155057489
-0.38125 -0.75 0.2973323097
-0.38125 -0.7 0.2790290554
-0.38125 -0.65 0.2606157956
-0.38125 -0.6 0.2420998092
-0.38125 -0.55 0.2234712241
-0.38125 -0.5 0.2046993422
-0.38125 -0.45 0.1857308049
-0.38125 -0.4 0.1664901195
-0.38125 -0.35 0.1468822686
-0.38125 -0.3 0.1267962201
-0.38125 -0.25 0.106107731
-0.38125 -0.2 0.08468044495
-0.38125 -0.15 0.06236581836
-0.38125 -0.1 0.03900395369
-0.38125 -0.05 0.01442766227
-0.38125 0 -0.01152958524
-0.38125 0.05 -0.03902392195
-0.38125 0.1 -0.06819352267
-0.38125 0.15 -0.09915643347
-0.38125 0.2 -0.1320138104
-0.38125 0.25 -0.1668550632
-0.38125 0.3 -0.2037600057
-0.38125 0.35 -0.2427947148
-0.38125 0.4 -0.2840011854
-0.38125 0.45 -0.3273837961
-0.38125 0.5 -0.3728964084
-0.38125 0.55 -0.420432507
-0.38125 0.6 -0.4698183811
-0.38125 0.65 -0.520807398
-0.38125 0.7 -0.573072731
-0.38125 0.75 -0.6261964433
-0.38125 0.8 -0.6796542165
-0.38125 0.85 -0.7327969527
-0.38125 0.9 -0.7848329263
-0.38125 0.95 -0.8348171175
-0.38125 1 -0.8816574503
-0.38125 1.05 -0.9241496347
-0.38125 1.1 -0.9610507404
-0.38125 1.15 -0.9911936871
-0.38125 1.2 -1.013629692
-0.38125 1.25 -1.0277679
-0.38125 1.3 -1.033471366
-0.38125 1.35 -1.031076392
-0.38125 1.4 -1.021327921
-0.38125 1.45 -1.005253574
-0.38125 1.5 -0.9840160841
-0.38125 1.55 -0.9587813798
-0.38125 1.6 -0.9306239249
-0.38125 1.65 -0.9004736315
-0.38125 1.7 -0.8690972607
-0.38125 1.75 -0.8371030734
-0.38125 1.8 -0.8049582352
-0.38125 1.85 -0.7730112731
-0.38125 1.9 -0.7415148254
-0.38125 1.95 -0.710646217
-0.38125 2 -0.6805248865
-0.325 -2 0.6585396153
-0.325 -1.95 0.6471758158
-0.325 -1.9 0.6355470139
-0.325 -1.85 0.6236434179
-0.325 -1.8 0.6114550185
-0.325 -1.75 0.5989716452
-0.325 -1.7 0.586183041
-0.325 -1.65 0.5730789597
-0.325 -1.6 0.5596492888
-0.325 -1.55 0.5458842054
-0.325 -1.5 0.5317743677
-0.325 -1.45 0.5173111508
-0.325 -1.4 0.5024869299
-0.325 -1.35 0.4872954175
-0.325 -1.3 0.4717320569
-0.325 -1.25 0.4557944716
-0.325 -1.2 0.4394829656
-0.325 -1.15 0.4228010582
-0.325 -1.1 0.4057560272
-0.325 -1.05 0.388359413
-0.325 -1 0.3706274126
-0.325 -0.95 0.352581063
-0.325 -0.9 0.3342460758
-0.325 -0.85 0.3156521588
-0.325 -0.8 0.296831634
-0.325 -0.75 0.2778171852
-0.325 -0.7 0.2586386352
-0.325 -0.65 0.2393188178
-0.325 -0.6 0.2198688612
-0.325 -0.55 0.2002835188
-0.325 -0.5 0.1805374518
-0.325 -0.45 0.1605834027
-0.325 -0.4 0.1403528043
-0.325 -0.35 0.1197585216
-0.325 -0.3 0.09869843208
-0.325 -0.25 0.07705806344
-0.325 -0.2 0.05471112762
-0.325 -0.15 0.03151845046
-0.325 -0.1 0.007327522722
-0.325 -0.05 -0.01802471842
-0.325 0 -0.04470495273
-0.325 0.05 -0.07287439064
-0.325 0.1 -0.1026815961
-0.325 0.15 -0.1342605807
-0.325 0.2 -0.1677341994
-0.325 0.25 -0.2032191692
-0.325 0.3 -0.2408275888
-0.325 0.35 -0.2806615831
-0.325 0.4 -0.3228013219
-0.325 0.45 -0.3672897492
-0.325 0.5 -0.41411813
-0.325 0.55 -0.4632148945
-0.325 0.6 -0.5144375634
-0.325 0.65 -0.567565345
-0.325 0.7 -0.6222891424
-0.325 0.75 -0.6781961738
-0.325 0.8 -0.7347478443
-0.325 0.85 -0.7912517035
-0.325 0.9 -0.8468314763
-0.325 0.95 -0.9004035561
-0.325 1 -0.9506738033
-0.325 1.05 -0.9961733003
-0.325 1.1 -1.035351654
-0.325 1.15 -1.066735519
-0.325 1.2 -1.089134896
-0.325 1.25 -1.101847507
-0.325 1.3 -1.104792693
-0.325 1.35 -1.098521778
-0.325 1.4 -1.08410021
-0.325 1.45 -1.062908308
-0.325 1.5 -1.036429364
-0.325 1.55 -1.006079585
-0.325 1.6 -0.9731027244
-0.325 1.65 -0.9385251377
-0.325 1.7 -0.9031538621
-0.325 1.75 -0.8675989929
-0.325 1.8 -0.8323060371
-0.325 1.85 -0.7975894008
-0.325 1.9 -0.7636625373
-0.325 1.95 -0.7306630861
-0.325 2 -0.6986728715
-0.26875 -2 0.6506371722
-0.26875 -1.95 0.6390513336
-0.26875 -1.9 0.627188703
-0.26875 -1.85 0.6150386326
-0.26875 -1.8 0.6025901852
-0.26875 -1.75 0.5898321854
-0.26875 -1.7 0.5767532893
-0.26875 -1.65 0.5633420765
-0.26875 -1.6 0.549587169
-0.26875 -1.55 0.5354773833
-0.26875 -1.5 0.5210019204
-0.26875 -1.45 0.5061506017
-0.26875 -1.4 0.4909141559
-0.26875 -1.35 0.475284564
-0.26875 -1.3 0.4592554667
-0.26875 -1.25 0.4428226348
-0.26875 -1.2 0.4259845003
-0.26875 -1.15 0.4087427344
-0.26875 -1.1 0.3911028468
-0.26875 -1.05 0.3730747632
-0.26875 -1 0.3546733097
-0.26875 -0.95 0.335918503
-0.26875 -0.9 0.3168355083
-0.26875 -0.85 0.2974540895
-0.26875 -0.8 0.2778073571
-0.26875 -0.75 0.2579296267
-0.26875 -0.7 0.2378532767
-0.26875 -0.65 0.2176046523
-0.26875 -0.6 0.1971993316
-0.26875 -0.55 0.1766374023
-0.26875 -0.5 0.1558996876
-0.26875 -0.45 0.134945909
-0.26875 -0.4 0.1137153586
-0.26875 -0.35 0.09212975137
-0.26875 -0.3 0.07009684263
-0.26875 -0.25 0.04751284324
-0.26875 -0.2 0.02426229651
-0.26875 -0.15 0.0002158780212
-0.26875 -0.1 -0.02477148696
-0.26875 -0.05 -0.05085925655
-0.26875 0 -0.0782154274
-0.26875 0.05 -0.107008106
-0.26875 0.1 -0.1373986641
-0.26875 0.15 -0.169540017
-0.26875 0.2 -0.2035800924
-0.26875 0.25 -0.2396666614
-0.26875 0.3 -0.277948198
-0.26875 0.35 -0.3185673363
-0.26875 0.4 -0.3616473608
-0.26875 0.45 -0.4072754057
-0.26875 0.5 -0.4554867535
-0.26875 0.55 -0.5062527535
-0.26875 0.6 -0.5594718685
-0.26875 0.65 -0.6149608681
-0.26875 0.7 -0.6724420952
-0.26875 0.75 -0.7315230028
-0.26875 0.8 -0.7916654535
-0.26875 0.85 -0.852144553
-0.26875 0.9 -0.912000607
-0.26875 0.95 -0.9699940968
-0.26875 1 -1.024582876
-0.26875 1.05 -1.073951262
-0.26875 1.1 -1.116125455
-0.26875 1.15 -1.149196149
-0.26875 1.2 -1.171626851
-0.26875 1.25 -1.18256509
-0.26875 1.3 -1.182035608
-0.26875 1.35 -1.170926234
-0.26875 1.4 -1.150772816
-0.26875 1.45 -1.12344049
-0.26875 1.5 -1.090820729
-0.26875 1.55 -1.054619938
-0.26875 1.6 -1.016254742
-0.26875 1.65 -0.9768303381
-0.26875 1.7 -0.9371676966
-0.26875 1.75 -0.8978515376
-0.26875 1.8 -0.8592815739
-0.26875 1.85 -0.8217184081
-0.26875 1.9 -0.785321073
-0.26875 1.95 -0.7501761336
-0.26875 2 -0.7163194908
-0.2125 -2 0.6426430714
-0.2125 -1.95 0.6308311667
-0.2125 -1.9 0.6187303879
-0.2125 -1.85 0.6063292023
-0.2125 -1.8 0.5936157135
-0.2125 -1.75 0.5805777067
-0.2125 -1.7 0.5672027128
-0.2125 -1.65 0.5534780952
-0.2125 -1.6 0.5393911639
-0.2125 -1.55 0.5249293242
-0.2125 -1.5 0.5100802648
-0.2125 -1.45 0.4948321935
-0.2125 -1.4 0.4791741288
-0.2125 -1.35 0.4630962526
-0.2125 -1.3 0.4465903325
-0.2125 -1.25 0.4296502156
-0.2125 -1.2 0.4122723925
-0.2125 -1.15 0.3944566221
-0.2125 -1.1 0.3762065931
-0.2125 -1.05 0.3575305819
-0.2125 -1 0.3384420365
-0.2125 -0.95 0.3189599877
-0.2125 -0.9 0.2991091431
-0.2125 -0.85 0.2789194861
-0.2125 -0.8 0.2584251713
-0.2125 -0.75 0.237662515
-0.2125 -0.7 0.216666949
-0.2125 -0.65 0.1954689699
-0.2125 -0.6 0.1740893896
-0.2125 -0.55 0.1525345499
-0.2125 -0.5 0.130792474
-0.2125 -0.45 0.1088309893
-0.2125 -0.4 0.08659843053
-0.2125 -0.35 0.06402655906
-0.2125 -0.3 0.04103416099
-0.2125 -0.25 0.01752915418
-0.2125 -0.2 -0.006592316539
-0.2125 -0.15 -0.03144936742
-0.2125 -0.1 -0.05717985472
-0.2125 -0.05 -0.08394054484
-0.2125 0 -0.1119024036
-0.2125 0.05 -0.1412427764
-0.2125 0.1 -0.1721387618
-0.2125 0.15 -0.2047655338
-0.2125 0.2 -0.2392997638
-0.2125 0.25 -0.2759241869
-0.2125 0.3 -0.3148277935
-0.2125 0.35 -0.3561981847
-0.2125 0.4 -0.4002067397
-0.2125 0.45 -0.4469906313
-0.2125 0.5 -0.4966363641
-0.2125 0.55 -0.5491673806
-0.2125 0.6 -0.604534923
-0.2125 0.65 -0.6626085052
-0.2125 0.7 -0.7231609205
-0.2125 0.75 -0.7858425908
-0.2125 0.8 -0.8501408989
-0.2125 0.85 -0.9153220443
-0.2125 0.9 -0.9803570192
-0.2125 0.95 -1.043841663
-0.2125 1 -1.103935824
-0.2125 1.05 -1.158367946
-0.2125 1.1 -1.204568952
-0.2125 1.15 -1.239987558
-0.2125 1.2 -1.262567595
-0.2125 1.25 -1.27124516
-0.2125 1.3 -1.26623952
-0.2125 1.35 -1.248978882
-0.2125 1.4 -1.221702556
-0.2125 1.45 -1.186945053
-0.2125 1.5 -1.147109245
-0.2125 1.55 -1.104221954
-0.2125 1.6 -1.059856233
-0.2125 1.65 -1.015158369
-0.2125 1.7 -0.970921126
-0.2125 1.75 -0.9276659147
-0.2125 1.8 -0.8857159816
-0.2125 1.85 -0.8452548385
-0.2125 1.9 -0.8063701159
-0.2125 1.95 -0.7690852546
-0.2125 2 -0.7333818513
-0.15625 -2 0.6345546645
-0.15625 -1.95 0.6225125266
-0.15625 -1.9 0.6101691296
-0.15625 -1.85 0.597512027
-0.15625 -1.8 0.5845283309
-0.15625 -1.75 0.5712047515
-0.15625 -1.7 0.5575276553
-0.15625 -1.65 0.5434831461
-0.15625 -1.6 0.529057175
-0.15625 -1.55 0.5142356842
-0.15625 -1.5 0.499004794
-0.15625 -1.45 0.4833510386
-0.15625 -1.4 0.467261662
-0.15625 -1.35 0.45072498
-0.15625 -1.3 0.4337308184
-0.15625 -1.25 0.4162710323
-0.15625 -1.2 0.3983401066
-0.15625 -1.15 0.3799358319
-0.15625 -1.1 0.3610600351
-0.15625 -1.05 0.3417193262
-0.15625 -1 0.321925795
-0.15625 -0.95 0.301697556
-0.15625 -0.9 0.2810589995
-0.15625 -0.85 0.26004056
-0.15625 -0.8 0.2386777837
-0.15625 -0.75 0.2170094756
-0.15625 -0.7 0.1950747715
-0.15625 -0.65 0.1729091472
-0.15625 -0.6 0.1505396589
-0.15625 -0.55 0.127980086
-0.15625 -0.5 0.1052269819
-0.15625 -0.45 0.08225771904
-0.15625 -0.4 0.05903116803
-0.15625 -0.35 0.03549061714
-0.15625 -0.3 0.01156726112
-0.15625 -0.25 -0.01281812438
-0.15625 -0.2 -0.03775703275
-0.15625 -0.15 -0.0633581907
-0.15625 -0.1 -0.08975280614
-0.15625 -0.05 -0.1170963763
-0.15625 0 -0.1455650992
-0.15625 0.05 -0.1753485349
-0.15625 0.1 -0.2066429944
-0.15625 0.15 -0.2396496902
-0.15625 0.2 -0.2745779372
-0.15625 0.25 -0.311649359
-0.15625 0.3 -0.3510974274
-0.15625 0.35 -0.3931588667
-0.15625 0.4 -0.4380578163
-0.15625 0.45 -0.4859871664
-0.15625 0.5 -0.5370920402
-0.15625 0.55 -0.5914579982
-0.15625 0.6 -0.6491028322
-0.15625 0.65 -0.7099676094
-0.15625 0.7 -0.77390076
-0.15625 0.75 -0.8406282489
-0.15625 0.8 -0.9097027398
-0.15625 0.85 -0.9804252849
-0.15625 0.9 -1.051736093
-0.15625 0.95 -1.122080338
-0.15625 1 -1.189277227
-0.15625 1.05 -1.25046082
-0.15625 1.1 -1.30220968
-0.15625 1.15 -1.34099081
-0.15625 1.2 -1.363927371
-0.15625 1.25 -1.369640472
-0.15625 1.3 -1.358712212
-0.15625 1.35 -1.333466863
-0.15625 1.4 -1.297216611
-0.15625 1.45 -1.253418487
-0.15625 1.5 -1.205094518
-0.15625 1.55 -1.154592924
-0.15625 1.6 -1.103590406
-0.15625 1.65 -1.053206602
-0.15625 1.7 -1.004143556
-0.15625 1.75 -0.9568093056
-0.15625 1.8 -0.9114135254
-0.15625 1.85 -0.8680364025
-0.15625 1.9 -0.8266761809
-0.15625 1.95 -0.7872811153
-0.15625 2 -0.7497705499
-0.1 -2 0.6263692659
-0.1 -1.95 0.6140925826
-0.1 -1.9 0.6015019422
-0.1 -1.85 0.5885839546
-0.1 -1.8 0.575324707
-0.1 -1.75 0.5617097982
-0.1 -1.7 0.5477243898
-0.1 -1.65 0.5333532821
-0.1 -1.6 0.5185810186
-0.1 -1.55 0.5033920264
-0.1 -1.5 0.4877708003
-0.1 -1.45 0.4717021407
-0.1 -1.4 0.455171453
-0.1 -1.35 0.4381651209
-0.1 -1.3 0.420670962
-0.1 -1.25 0.4026787751
-0.1 -1.2 0.3841809815
-0.1 -1.15 0.3651733579
-0.1 -1.1 0.345655844
-0.1 -1.05 0.3256333891
-0.1 -1 0.3051167754
-0.1 -0.95 0.2841233169
-0.1 -0.9 0.2626772883
-0.1 -0.85 0.2408098911
-0.1 -0.8 0.2185585229
-0.1 -0.75 0.1959651115
-0.1 -0.7 0.1730733339
-0.1 -0.65 0.1499247053
-0.1 -0.6 0.126553816
-0.1 -0.55 0.1029833902
-0.1 -0.5 0.07922020412
-0.1 -0.45 0.05525299616
-0.1 -0.4 0.03105304567
-0.1 -0.35 0.006576990655
-0.1 -0.3 -0.01822992652
-0.1 -0.25 -0.04343279138
-0.1 -0.2 -0.06911002491
-0.1 -0.15 -0.09536004754
-0.1 -0.1 -0.1223084728
-0.1 -0.05 -0.1501116166
-0.1 0 -0.1789539369
-0.1 0.05 -0.2090409387
-0.1 0.1 -0.2405922579
-0.1 0.15 -0.2738393246
-0.1 0.2 -0.3090281007
-0.1 0.25 -0.3464228081
-0.1 0.3 -0.3863048527
-0.1 0.35 -0.4289634992
-0.1 0.4 -0.4746794617
-0.1 0.45 -0.5237062242
-0.1 0.5 -0.5762543919
-0.1 0.55 -0.6324817253
-0.1 0.6 -0.6924874788
-0.1 0.65 -0.7563061114
-0.1 0.7 -0.8238930729
-0.1 0.75 -0.8950937661
-0.1 0.8 -0.9695850545
-0.1 0.85 -1.046776621
-0.1 0.9 -1.125658774
-0.1 0.95 -1.204589823
-0.1 1 -1.281043288
-0.1 1.05 -1.351403629
-0.1 1.1 -1.411015772
-0.1 1.15 -1.454783232
-0.1 1.2 -1.478450501
-0.1 1.25 -1.480133
-0.1 1.3 -1.4611108
-0.1 1.35 -1.42525354
-0.1 1.4 -1.377540596
-0.1 1.45 -1.322681479
-0.1 1.5 -1.264395529
-0.1 1.55 -1.205287015
-0.1 1.6 -1.147023036
-0.1 1.65 -1.090587394
-0.1 1.7 -1.036504905
-0.1 1.75 -0.9850080617
-0.1 1.8 -0.9361507138
-0.1 1.85 -0.889881994
-0.1 1.9 -0.8460929955
-0.1 1.95 -0.8046456313
-0.1 2 -0.7653901288
-0.04375 -2 0.618084154
-0.04375 -1.95 0.6055684642
-0.04375 -1.9 0.5927257957
-0.04375 -1.85 0.5795417835
-0.04375 -1.8 0.5660014565
-0.04375 -1.75 0.552089264
-0.04375 -1.7 0.5377891217
-0.04375 -1.65 0.5230844813
-0.04375 -1.6 0.5079584295
-0.04375 -1.55 0.4923938248
-0.04375 -1.5 0.4763734798
-0.04375 -1.45 0.4598804001
-0.04375 -1.4 0.4428980896
-0.04375 -1.35 0.4254109352
-0.04375 -1.3 0.4074046833
-0.04375 -1.25 0.3888670174
-0.04375 -1.2 0.3697882461
-0.04375 -1.15 0.3501620992
-0.04375 -1.1 0.3299866226
-0.04375 -1.05 0.3092651383
-0.04375 -1 0.2880072114
-0.04375 -0.95 0.2662295251
-0.04375 -0.9 0.2439565166
-0.04375 -0.85 0.2212205729
-0.04375 -0.8 0.1980615397
-0.04375 -0.75 0.1745252809
-0.04375 -0.7 0.1506610804
-0.04375 -0.65 0.1265178364
-0.04375 -0.6 0.1021393045
-0.04375 -0.55 0.07755905806
-0.04375 -0.5 0.05279622778
-0.04375 -0.45 0.02785320222
-0.04375 -0.4 0.002715994799
-0.04375 -0.35 -0.02264318718
-0.04375 -0.3 -0.0482631309
-0.04375 -0.25 -0.07419339509
-0.04375 -0.2 -0.1004987476
-0.04375 -0.15 -0.1272677889
-0.04375 -0.1 -0.1546222617
-0.04375 -0.05 -0.1827222591
-0.04375 0 -0.2117644808
-0.04375 0.05 -0.2419749917
-0.04375 0.1 -0.2736015318
-0.04375 0.15 -0.3069102522
-0.04375 0.2 -0.3421876694
-0.04375 0.25 -0.3797437695
-0.04375 0.3 -0.4199103755
-0.04375 0.35 -0.4630313816
-0.04375 0.4 -0.5094463045
-0.04375 0.45 -0.5594723862
-0.04375 0.5 -0.6133909153
-0.04375 0.55 -0.6714405877
-0.04375 0.6 -0.733816474
-0.04375 0.65 -0.8006693546
-0.04375 0.7 -0.8720974322
-0.04375 0.75 -0.9481199218
-0.04375 0.8 -1.028618239
-0.04375 0.85 -1.113224121
-0.04375 0.9 -1.201125263
-0.04375 0.95 -1.290753492
-0.04375 1 -1.379338658
-0.04375 1.05 -1.462404618
-0.04375 1.1 -1.533526641
-0.04375 1.15 -1.585015348
-0.04375 1.2 -1.61012103
-0.04375 1.25 -1.606062602
-0.04375 1.3 -1.575533322
-0.04375 1.35 -1.525197442
-0.04375 1.4 -1.46265954
-0.04375 1.45 -1.394255848
-0.04375 1.5 -1.324366494
-0.04375 1.55 -1.255656007
-0.04375 1.6 -1.189576806
-0.04375 1.65 -1.126816234
-0.04375 1.7 -1.067611036
-0.04375 1.75 -1.011946647
-0.04375 1.8 -0.9596767508
-0.04375 1.85 -0.9105926596
-0.04375 1.9 -0.8644625352
-0.04375 1.95 -0.8210528884
-0.04375 2 -0.7801398268
0.0125 -2 0.609696574
0.0125 -1.95 0.5969372631
0.0125 -1.9 0.5838376173
0.0125 -1.85 0.570382265
0.0125 -1.8 0.5565551412
0.0125 -1.75 0.5423395076
0.0125 -1.7 0.5277179918
0.0125 -1.65 0.5126726506
0.0125 -1.6 0.4971850642
0.0125 -1.55 0.4812364685
0.0125 -1.5 0.4648079368
0.0125 -1.45 0.4478806194
0.0125 -1.4 0.4304360566
0.0125 -1.35 0.412456577
0.0125 -1.3 0.3939257962
0.0125 -1.25 0.3748292312
0.0125 -1.2 0.3551550386
0.0125 -1.15 0.3348948851
0.0125 -1.1 0.3140449397
0.0125 -1.05 0.2926069641
0.0125 -1 0.2705894445
0.0125 -0.95 0.2480086708
0.0125 -0.9 0.2248896126
0.0125 -0.85 0.201266386
0.0125 -0.8 0.1771820483
0.0125 -0.75 0.152687431
0.0125 -0.7 0.1278387681
0.0125 -0.65 0.1026940301
0.0125 -0.6 0.07730818408
0.0125 -0.55 0.05172803526
0.0125 -0.5 0.02598772949
0.0125 -0.45 0.0001061370462
0.0125 -0.4 -0.02591314629
0.0125 -0.35 -0.05207968748
0.0125 -0.3 -0.07841410418
0.0125 -0.25 -0.1049490056
0.0125 -0.2 -0.1317352017
0.0125 -0.15 -0.158852579
0.0125 -0.1 -0.1864216651
0.0125 -0.05 -0.2146104285
0.0125 0 -0.2436329676
0.0125 0.05 -0.2737415366
0.0125 0.1 -0.3052174235
0.0125 0.15 -0.3383661821
0.0125 0.2 -0.3735184017
0.0125 0.25 -0.4110320207
0.0125 0.3 -0.4512902215
0.0125 0.35 -0.4946915691
0.0125 0.4 -0.5416341216
0.0125 0.45 -0.5924991735
0.0125 0.5 -0.6476407016
0.0125 0.55 -0.7073836468
0.0125 0.6 -0.7720298347
0.0125 0.65 -0.8418665287
0.0125 0.7 -0.9171697907
0.0125 0.75 -0.9981918253
0.0125 0.8 -1.085115935
0.0125 0.85 -1.177951348
0.0125 0.9 -1.276319104
0.0125 0.95 -1.379047913
0.0125 1 -1.483471182
0.0125 1.05 -1.584376475
0.0125 1.1 -1.672949282
0.0125 1.15 -1.737062828
0.0125 1.2 -1.765039594
0.0125 1.25 -1.752285545
0.0125 1.3 -1.704579153
0.0125 1.35 -1.633929169
0.0125 1.4 -1.552058556
0.0125 1.45 -1.467177024
0.0125 1.5 -1.383988723
0.0125 1.55 -1.304795795
0.0125 1.6 -1.230508538
0.0125 1.65 -1.161304155
0.0125 1.7 -1.097002877
0.0125 1.75 -1.0372693
0.0125 1.8 -0.9817158464
0.0125 1.85 -0.9299537984
0.0125 1.9 -0.8816168606
0.0125 1.95 -0.8363705826
0.0125 2 -0.7939146703
0.06875 -2 0.6012037394
0.06875 -1.95 0.5881960358
0.06875 -1.9 0.5748342946
0.06875 -1.85 0.5611021053
0.06875 -1.8 0.546982273
0.06875 -1.75 0.5324568321
0.06875 -1.7 0.5175070792
0.06875 -1.65 0.5021136293
0.06875 -1.6 0.4862565053
0.06875 -1.55 0.4699152667
0.06875 -1.5 0.4530691895
0.06875 -1.45 0.43569751
0.06875 -1.4 0.4177797444
0.06875 -1.35 0.3992961044
0.06875 -1.3 0.3802280218
0.06875 -1.25 0.3605588034
0.06875 -1.2 0.3402744294
0.06875 -1.15 0.319364506
0.06875 -1.1 0.2978233715
0.06875 -1.05 0.2756513356
0.06875 -1 0.2528560027
0.06875 -0.95 0.2294535878
0.06875 -0.9 0.2054700749
0.06875 -0.85 0.1809420054
0.06875 -0.8 0.1559166137
0.06875 -0.75 0.1304509947
0.06875 -0.7 0.1046100132
0.06875 -0.65 0.07846281809
0.06875 -0.6 0.05207813318
0.06875 -0.55 0.0255189513
0.06875 -0.5 -0.001162283936
0.06875 -0.45 -0.02792675739
0.06875 -0.4 -0.054749864
0.06875 -0.35 -0.08161984452
0.06875 -0.3 -0.1085367359
0.06875 -0.25 -0.1355148935
0.06875 -0.2 -0.1625913882
0.06875 -0.15 -0.1898394437
0.06875 -0.1 -0.2173823243
0.06875 -0.05 -0.2454014485
0.06875 0 -0.2741348916
0.06875 0.05 -0.3038678361
0.06875 0.1 -0.334921153
0.06875 0.15 -0.3676444104
0.06875 0.2 -0.4024150021
0.06875 0.25 -0.4396395024
0.06875 0.3 -0.4797512138
0.06875 0.35 -0.5232005943
0.06875 0.4 -0.5704405371
0.06875 0.45 -0.6219125524
0.06875 0.5 -0.6780403515
0.06875 0.55 -0.7392344171
0.06875 0.6 -0.8059069568
0.06875 0.65 -0.8784931728
0.06875 0.7 -0.9574724966
0.06875 0.75 -1.043380996
0.06875 0.8 -1.136800588
0.06875 0.85 -1.238296757
0.06875 0.9 -1.348244196
0.06875 0.95 -1.466410671
0.06875 1 -1.591039903
0.06875 1.05 -1.717020354
0.06875 1.1 -1.832968004
0.06875 1.15 -1.919191446
0.06875 1.2 -1.953238694
0.06875 1.25 -1.926152143
0.06875 1.3 -1.851210505
0.06875 1.35 -1.751299138
0.06875 1.4 -1.644261879
0.06875 1.45 -1.539729612
0.06875 1.5 -1.441747964
0.06875 1.55 -1.351499527
0.06875 1.6 -1.26889661
0.06875 1.65 -1.193358567
0.06875 1.7 -1.124161404
0.06875 1.75 -1.060585481
0.06875 1.8 -1.001971911
0.06875 1.85 -0.9477388419
0.06875 1.9 -0.897380876
0.06875 1.95 -0.850462039
0.06875 2 -0.8066069298
