beta0 beta1 loggap
-0.8875 -0.45 0.3898412254
-0.8875 -0.4 0.3783951982
-0.8875 -0.35 0.3666108657
-0.8875 -0.3 0.3543249765
-0.8875 -0.25 0.3413565188
-0.8875 -0.2 0.3275109385
-0.8875 -0.15 0.3125852457
-0.8875 -0.1 0.2963750876
-0.8875 -0.05 0.2786845627
-0.8875 0 0.2593382804
-0.8875 0.05 0.2381935565
-0.8875 0.1 0.2151498053
-0.8875 0.15 0.190152919
-0.8875 0.2 0.1631944359
-0.8875 0.25 0.134307376
-0.8875 0.3 0.1035615197
-0.8875 0.35 0.07106022902
-0.8875 0.4 0.03693928625
-0.8875 0.45 0.001366759184
-0.8875 0.5 -0.0354576084
-0.8875 0.55 -0.07330446475
-0.8875 0.6 -0.1119183899
-0.8875 0.65 -0.1510221766
-0.8875 0.7 -0.1903209441
-0.8875 0.75 -0.2295054818
-0.8875 0.8 -0.2682547303
-0.8875 0.85 -0.3062377711
-0.8875 0.9 -0.3431159884
-0.8875 0.95 -0.3785461662
-0.8875 1 -0.4121852111
-0.8875 1.05 -0.4436969756
-0.8875 1.1 -0.4727613164
-0.8875 1.15 -0.4990850887
-0.8875 1.2 -0.5224143038
-0.8875 1.25 -0.5425462466
-0.8875 1.3 -0.5593400779
-0.8875 1.35 -0.5727244338
-0.8875 1.4 -0.5827008281
-0.8875 1.45 -0.589342237
-0.8875 1.5 -0.592786965
-0.8875 1.55 -0.5932285859
-0.8875 1.6 -0.5909032514
-0.8875 1.65 -0.5860758768
-0.8875 1.7 -0.5790266209
-0.8875 1.75 -0.570038784
-0.8875 1.8 -0.5593888299
-0.8875 1.85 -0.5473388322
-0.8875 1.9 -0.5341313114
-0.8875 1.95 -0.5199861998
-0.8875 2 -0.505099552
-0.83125 -2 0.7259529006
-0.83125 -1.95 0.7164271478
-0.83125 -1.9 0.7067307297
-0.83125 -1.85 0.6968604159
-0.83125 -1.8 0.6868132786
-0.83125 -1.75 0.6765867838
-0.83125 -1.7 0.6661788993
-0.83125 -1.65 0.6555882218
-0.83125 -1.6 0.6448141252
-0.83125 -1.55 0.6338569317
-0.83125 -1.5 0.6227181082
-0.83125 -1.45 0.6114004877
-0.83125 -1.4 0.5999085161
-0.83125 -1.35 0.5882485208
-0.83125 -1.3 0.576428995
-0.83125 -1.25 0.5644608875
-0.83125 -1.2 0.5523578786
-0.83125 -1.15 0.5401366166
-0.83125 -1.1 0.5278168744
-0.83125 -1.05 0.5154215723
-0.83125 -1 0.5029765927
-0.83125 -0.95 0.4905102962
-0.83125 -0.9 0.478052625
-0.83125 -0.85 0.465633673
-0.83125 -0.8 0.4532816044
-0.83125 -0.75 0.4410198352
-0.83125 -0.7 0.4288634708
-0.83125 -0.65 0.4168151258
-0.83125 -0.6 0.4048604339
-0.83125 -0.55 0.3929637654
-0.83125 -0.5 0.3810648176
-0.83125 -0.45 0.3690767377
-0.83125 -0.4 0.3568861758
-0.83125 -0.35 0.3443551825
-0.83125 -0.3 0.3313243777
-0.83125 -0.25 0.3176166662
-0.83125 -0.2 0.303041214
-0.83125 -0.15 0.287398234
-0.83125 -0.1 0.2704857487
-0.83125 -0.05 0.252109212
-0.83125 0 0.2320935337
-0.83125 0.05 0.2102953368
-0.83125 0.1 0.1866123711
-0.83125 0.15 0.1609877609
-0.83125 0.2 0.1334089025
-0.83125 0.25 0.1039030442
-0.83125 0.3 0.07253254579
-0.83125 0.35 0.03939206756
-0.83125 0.4 0.004608173837
-0.83125 0.45 -0.03165978155
-0.83125 0.5 -0.06921919132
-0.83125 0.55 -0.1078453044
-0.83125 0.6 -0.1472839989
-0.83125 0.65 -0.1872554793
-0.83125 0.7 -0.2274579357
-0.83125 0.75 -0.2675705188
-0.83125 0.8 -0.3072555329
-0.83125 0.85 -0.3461602666
-0.83125 0.9 -0.3839192245
-0.83125 0.95 -0.420157658
-0.83125 1 -0.4544972295
-0.83125 1.05 -0.4865643997
-0.83125 1.1 -0.516001707
-0.83125 1.15 -0.5424815478
-0.83125 1.2 -0.5657214297
-0.83125 1.25 -0.5854990894
-0.83125 1.3 -0.6016655042
-0.83125 1.35 -0.6141538391
-0.83125 1.4 -0.6229828273
-0.83125 1.45 -0.6282539147
-0.83125 1.5 -0.6301425077
-0.83125 1.55 -0.6288845801
-0.83125 1.6 -0.6247604855
-0.83125 1.65 -0.6180779872
-0.83125 1.7 -0.6091562732
-0.83125 1.75 -0.5983122349
-0.83125 1.8 -0.5858496973
-0.83125 1.85 -0.5720517676
-0.83125 1.9 -0.5571760759
-0.83125 1.95 -0.5414524515
-0.83125 2 -0.5250824896
-0.775 -2 0.7187633485
-0.775 -1.95 0.7090462401
-0.775 -1.9 0.6991489402
-0.775 -1.85 0.6890675825
-0.775 -1.8 0.6787985557
-0.775 -1.75 0.6683385919
-0.775 -1.7 0.6576848721
-0.775 -1.65 0.6468351514
-0.775 -1.6 0.635787906
-0.775 -1.55 0.6245425035
-0.775 -1.5 0.613099401
-0.775 -1.45 0.6014603688
-0.775 -1.4 0.5896287428
-0.775 -1.35 0.5776097012
-0.775 -1.3 0.5654105614
-0.775 -1.25 0.5530410866
-0.775 -1.2 0.5405137847
-0.775 -1.15 0.5278441746
-0.775 -1.1 0.5150509797
-0.775 -1.05 0.5021561954
-0.775 -1 0.489184957
-0.775 -0.95 0.4761651134
-0.775 -0.9 0.4631263943
-0.775 -0.85 0.4500990413
-0.775 -0.8 0.4371117806
-0.775 -0.75 0.4241890448
-0.775 -0.7 0.4113474284
-0.775 -0.65 0.3985914986
-0.775 -0.6 0.3859092703
-0.775 -0.55 0.3732678725
-0.775 -0.5 0.36061009
-0.775 -0.45 0.3478524578
-0.775 -0.4 0.3348853161
-0.775 -0.35 0.3215747229
-0.775 -0.3 0.3077655991
-0.775 -0.25 0.2932853197
-0.775 -0.2 0.2779474268
-0.775 -0.15 0.2615560392
-0.775 -0.1 0.2439122245
-0.775 -0.05 0.224823333
-0.775 0 0.2041148986
-0.775 0.05 0.1816428836
-0.775 0.1 0.1573030591
-0.775 0.15 0.1310350897
-0.775 0.2 0.1028211508
-0.775 0.25 0.07268128275
-0.775 0.3 0.04066869816
-0.775 0.35 0.006867451571
-0.775 0.4 -0.02860705641
-0.775 0.45 -0.06560603237
-0.775 0.5 -0.1039456262
-0.775 0.55 -0.1434069771
-0.775 0.6 -0.1837381292
-0.775 0.65 -0.2246570535
-0.775 0.7 -0.2658547465
-0.775 0.75 -0.3069977045
-0.775 0.8 -0.3477296756
-0.775 0.85 -0.3876731755
-0.775 0.9 -0.4264316663
-0.775 0.95 -0.4635934844
-0.775 1 -0.4987385589
-0.775 1.05 -0.5314486845
-0.775 1.1 -0.5613215853
-0.775 1.15 -0.5879882679
-0.775 1.2 -0.6111322877
-0.775 1.25 -0.6305087478
-0.775 1.3 -0.6459603604
-0.775 1.35 -0.6574279603
-0.775 1.4 -0.6649535676
-0.775 1.45 -0.6686753289
-0.775 1.5 -0.6688150861
-0.775 1.55 -0.6656605276
-0.775 1.6 -0.6595445479
-0.775 1.65 -0.6508244737
-0.775 1.7 -0.6398633217
-0.775 1.75 -0.6270144732
-0.775 1.8 -0.6126103502
-0.775 1.85 -0.5969550141
-0.775 1.9 -0.580320188
-0.775 1.95 -0.5629439903
-0.775 2 -0.5450316413
-0.71875 -2 0.7115039703
-0.71875 -1.95 0.7015925338
-0.71875 -1.9 0.6914911563
-0.71875 -1.85 0.6811953141
-0.71875 -1.8 0.6707006883
-0.71875 -1.75 0.6600032502
-0.71875 -1.7 0.6490993646
-0.71875 -1.65 0.6379859121
-0.71875 -1.6 0.6266604343
-0.71875 -1.55 0.615121304
-0.71875 -1.5 0.6033679234
-0.71875 -1.45 0.5914009506
-0.71875 -1.4 0.5792225562
-0.71875 -1.35 0.5668367092
-0.71875 -1.3 0.554249485
-0.71875 -1.25 0.5414693892
-0.71875 -1.2 0.5285076802
-0.71875 -1.15 0.5153786646
-0.71875 -1.1 0.5020999289
-0.71875 -1.05 0.4886924534
-0.71875 -1 0.4751805343
-0.71875 -0.95 0.4615914188
-0.71875 -0.9 0.4479545376
-0.71875 -0.85 0.4343002011
-0.71875 -0.8 0.4206576312
-0.71875 -0.75 0.4070522265
-0.71875 -0.7 0.3935020398
-0.71875 -0.65 0.3800135833
-0.71875 -0.6 0.366577273
-0.71875 -0.55 0.3531630491
-0.71875 -0.5 0.3397168764
-0.71875 -0.45 0.3261588246
-0.71875 -0.4 0.3123831463
-0.71875 -0.35 0.298260228
-0.71875 -0.3 0.283639733
-0.71875 -0.25 0.2683540748
-0.71875 -0.2 0.2522218433
-0.71875 -0.15 0.2350517822
-0.71875 -0.1 0.2166486824
-0.71875 -0.05 0.1968223266
-0.71875 0 0.1753991673
-0.71875 0.05 0.1522344784
-0.71875 0.1 0.127221645
-0.71875 0.15 0.1002960493
-0.71875 0.2 0.07143340598
-0.71875 0.25 0.04064491881
-0.71875 0.3 0.007972714393
-0.71875 0.35 -0.0265118931
-0.71875 0.4 -0.06270685597
-0.71875 0.45 -0.1004760423
-0.71875 0.5 -0.1396462441
-0.71875 0.55 -0.1800060509
-0.71875 0.6 -0.2213068084
-0.71875 0.65 -0.2632648535
-0.71875 0.7 -0.3055639124
-0.71875 0.75 -0.3478568924
-0.71875 0.8 -0.389766971
-0.71875 0.85 -0.4308885607
-0.71875 0.9 -0.4707892302
-0.71875 0.95 -0.5090139296
-0.71875 1 -0.5450928612
-0.71875 1.05 -0.5785540245
-0.71875 1.1 -0.6089408036
-0.71875 1.15 -0.6358339591
-0.71875 1.2 -0.6588761726
-0.71875 1.25 -0.6777961449
-0.71875 1.3 -0.6924285673
-0.71875 1.35 -0.7027264359
-0.71875 1.4 -0.7087632926
-0.71875 1.45 -0.7107248148
-0.71875 1.5 -0.7088911974
-0.71875 1.55 -0.7036133418
-0.71875 1.6 -0.6952865659
-0.71875 1.65 -0.6843253132
-0.71875 1.7 -0.6711414302
-0.71875 1.75 -0.6561274125
-0.71875 1.8 -0.6396449386
-0.71875 1.85 -0.6220182307
-0.71875 1.9 -0.6035313556
-0.71875 1.95 -0.5844284401
-0.71875 2 -0.5649158397
-0.6625 -2 0.70417254
-0.6625 -1.95 0.6940637049
-0.6625 -1.9 0.68375495
-0.6625 -1.85 0.6732410717
-0.6625 -1.8 0.6625170187
-0.6625 -1.75 0.6515779743
-0.6625 -1.7 0.6404194563
-0.6625 -1.65 0.6290374368
-0.6625 -1.6 0.6174284854
-0.6625 -1.55 0.6055899386
-0.6625 -1.5 0.5935200972
-0.6625 -1.45 0.581218456
-0.6625 -1.4 0.5686859647
-0.6625 -1.35 0.555925321
-0.6625 -1.3 0.542941291
-0.6625 -1.25 0.5297410501
-0.6625 -1.2 0.5163345282
-0.6625 -1.15 0.5027347366
-0.6625 -1.1 0.4889580379
-0.6625 -1.05 0.4750243078
-0.6625 -1 0.4609569136
-0.6625 -0.95 0.4467824139
-0.6625 -0.9 0.4325298593
-0.6625 -0.85 0.418229559
-0.6625 -0.8 0.4039111748
-0.6625 -0.75 0.3896010348
-0.6625 -0.7 0.3753186369
-0.6625 -0.65 0.361072452
-0.6625 -0.6 0.3468553404
-0.6625 -0.55 0.33264013
-0.6625 -0.5 0.318376083
-0.6625 -0.45 0.3039869744
-0.6625 -0.4 0.2893712117
-0.6625 -0.35 0.2744038492
-0.6625 -0.3 0.2589397513
-0.6625 -0.25 0.2428169532
-0.6625 -0.2 0.2258597781
-0.6625 -0.15 0.2078823219
-0.6625 -0.1 0.1886937749
-0.6625 -0.05 0.1681068672
-0.6625 0 0.1459492166
-0.6625 0.05 0.1220753007
-0.6625 0.1 0.09637559422
-0.6625 0.15 0.06878022475
-0.6625 0.2 0.03925702084
-0.6625 0.25 0.007806510247
-0.6625 0.3 -0.02554244181
-0.6625 0.35 -0.06073365287
-0.6625 0.4 -0.09768089449
-0.6625 0.45 -0.1362630964
-0.6625 0.5 -0.1763199015
-0.6625 0.55 -0.2176492574
-0.6625 0.6 -0.2600073086
-0.6625 0.65 -0.3031097144
-0.6625 0.7 -0.3466331624
-0.6625 0.75 -0.3902162307
-0.6625 0.8 -0.4334595021
-0.6625 0.85 -0.4759256244
-0.6625 0.9 -0.5171406448
-0.6625 0.95 -0.5565983256
-0.6625 1 -0.5937692205
-0.6625 1.05 -0.628115953
-0.6625 1.1 -0.6591152953
-0.6625 1.15 -0.6862862685
-0.6625 1.2 -0.7092217446
-0.6625 1.25 -0.7276193568
-0.6625 1.3 -0.7413065542
-0.6625 1.35 -0.7502549515
-0.6625 1.4 -0.7545808937
-0.6625 1.45 -0.7545319532
-0.6625 1.5 -0.7504619687
-0.6625 1.55 -0.7427992496
-0.6625 1.6 -0.7320131691
-0.6625 1.65 -0.7185836211
-0.6625 1.7 -0.7029762619
-0.6625 1.75 -0.6856247495
-0.6625 1.8 -0.6669198023
-0.6625 1.85 -0.6472040367
-0.6625 1.9 -0.6267711844
-0.6625 1.95 -0.6058682897
-0.6625 2 -0.584699696
-0.60625 -2 0.6967667774
-0.60625 -1.95 0.6864573704
-0.60625 -1.9 0.675937829
-0.60625 -1.85 0.6652022466
-0.60625 -1.8 0.6542448139
-0.60625 -1.75 0.6430598979
-0.60625 -1.7 0.6316421378
-0.60625 -1.65 0.6199865626
-0.60625 -1.6 0.6080887312
-0.60625 -1.55 0.5959449006
-0.60625 -1.5 0.5835522234
-0.60625 -1.45 0.5709089786
-0.60625 -1.4 0.5580148375
-0.60625 -1.35 0.5448711635
-0.60625 -1.3 0.5314813451
-0.60625 -1.25 0.5178511533
-0.60625 -1.2 0.503989111
-0.60625 -1.15 0.4899068502
-0.60625 -1.1 0.4756194233
-0.60625 -1.05 0.4611455133
-0.60625 -1 0.4465074724
-0.60625 -0.95 0.4317310884
-0.60625 -0.9 0.416844959
-0.60625 -0.85 0.4018793324
-0.60625 -0.8 0.3868642691
-0.60625 -0.75 0.3718270094
-0.60625 -0.7 0.3567885068
-0.60625 -0.65 0.3417592323
-0.60625 -0.6 0.3267345658
