k rnorm err
0 4.238664156 8.464765991
1 1.611434653 2.520995107
2 0.3170068284 0.7525418862
3 0.0220361425 0.0802237164
4 0.0001344409289 0.0004282971343
5 3.643063304e-09 6.474648364e-09
6 5.355577711e-16 8.727866008e-16
