t seq k0 k1 k2 k3 k4
37 -0.3272848868 0.7 -0.08161386119 -0.3342882268 -0.327297185 -0.3272848868
38 -0.3498254056 0.7 -0.09663097705 -0.3574026446 -0.3498383746 -0.3498254056
39 0.07827653926 0.7 0.3387789964 0.0699475928 0.07826243106 0.07827653923
40 0.8004891873 0.7 1.038778125 0.7957593876 0.8004775085 0.8004891873
41 0.06299575245 0.7 0.2569429444 0.0674126306 0.0629891086 0.06299575245
42 0.7970924138 0.7 0.9825760484 0.8019788616 0.7970867568 0.7970924138
43 1.336473924 0.7 1.487605966 1.344656229 1.336472221 1.336473924
44 1.444276241 0.7 1.619818625 1.453596404 1.444288124 1.444276241
45 1.255911457 0.7 1.473630259 1.267519871 1.255936441 1.255911457
46 0.8563255612 0.7 1.071953134 0.8724742721 0.8563662883 0.8563255613
47 1.437706815 0.7 1.614891087 1.455941418 1.437770752 1.437706815
48 2.082864944 0.7 2.300411969 2.099097241 2.082971112 2.082864945
49 2.281803277 0.7 2.777590691 2.29890137 2.281908781 2.281803281
50 2.081989678 0.7 2.925487645 2.170506499 2.082098768 2.081989682
51 1.574042312 0.7 2.57601465 1.813769504 1.576479938 1.574042317
52 0.6060110532 0.7 1.526104479 0.9120228777 0.6213500546 0.6060124038
53 0.5204249108 0.7 1.266035939 0.8357399432 0.5430087728 0.520446903
54 0.772813903 0.7 1.379313854 1.058968907 0.8008767483 0.7728716504
55 0.0267558892 0.7 0.5182341681 0.2625296262 0.05828149704 0.02689113459
56 0.2171137498 0.7 0.6459769517 0.4278039125 0.2460158009 0.2172395367
57 0.4011581914 0.7 0.766396926 0.5872278826 0.4281159891 0.4012962213
58 0.6909103489 0.7 0.9942702304 0.8512972385 0.7159130201 0.6910720334
59 0.01207321782 0.7 0.2576331325 0.1422178319 0.03442172421 0.01226726282
60 -0.3135423854 0.7 -0.08270016981 -0.198732721 -0.293699727 -0.313369719
61 -0.4882464801 0.7 -0.2478215577 -0.3885521013 -0.4713476457 -0.4881137055
62 -0.9971537156 0.7 -0.7407522365 -0.9130342418 -0.9832537846 -0.9970607361
63 0.02220878562 0.7 0.2854462645 0.08176557934 0.03181322287 0.02225017823
64 -0.223402443 0.7 0.02103397579 -0.1697185273 -0.2149281612 -0.2233656435
65 -0.0348974169 0.7 0.211115288 0.0118209487 -0.0275530588 -0.03486752993
66 -0.1573818465 0.7 0.07713899912 -0.1154442955 -0.1509201383 -0.1573557823
67 0.6374312035 0.7 0.8711075064 0.6742921195 0.6430723278 0.6374531342
68 1.195349592 0.7 1.384879399 1.229996463 1.200073969 1.195370524
69 1.280202368 0.7 1.464182931 1.307959746 1.283541203 1.280220299
70 -0.05362793426 0.7 0.1386012617 -0.03093262196 -0.05136819 -0.05361435041
71 -0.02169629128 0.7 0.170606293 -0.001390644106 -0.0197108831 -0.02168438098
72 0.3158442162 0.7 0.5059600202 0.3341952365 0.3175908904 0.3158546851
73 0.7682692499 0.7 0.9343109952 0.7860452228 0.7697941413 0.7682784496
74 0.3515993977 0.7 0.4864852983 0.3684973007 0.3528411251 0.351606966
75 1.199920757 0.7 1.319308289 1.215371804 1.201004116 1.199927359
76 0.3261262732 0.7 0.453952478 0.3384766852 0.3268907969 0.3261309151
77 -0.03875504042 0.7 0.07629407302 -0.02728532204 -0.03808752824 -0.0387509995
78 0.4239774294 0.7 0.5527625454 0.4341334907 0.4245641792 0.4239809821
79 0.3934736757 0.7 0.5043878695 0.4031818071 0.3939804891 0.3934767309
80 1.32430078 0.7 1.422167736 1.333316302 1.32474034 1.324303415
