x U
-1.015037594 0.621302739
-1 0.6
-0.984962406 0.5791947555
-0.969924812 0.5588789059
-0.954887218 0.5390444741
-0.9398496241 0.519683606
-0.9248120301 0.5007885699
-0.9097744361 0.4823517572
-0.8947368421 0.4643656817
-0.8796992481 0.44682298
-0.8646616541 0.4297164116
-0.8496240602 0.4130388584
-0.8345864662 0.3967833254
-0.8195488722 0.38094294
-0.8045112782 0.3655109526
-0.7894736842 0.350480736
-0.7744360902 0.3358457861
-0.7593984962 0.3215997211
-0.7443609023 0.3077362823
-0.7293233083 0.2942493335
-0.7142857143 0.2811328613
-0.6992481203 0.2683809751
-0.6842105263 0.2559879068
-0.6691729323 0.2439480112
-0.6541353383 0.2322557659
-0.6390977444 0.2209057709
-0.6240601504 0.2098927493
-0.6090225564 0.1992115467
-0.5939849624 0.1888571315
-0.5789473684 0.1788245947
-0.5639097744 0.1691091501
-0.5488721805 0.1597061344
-0.5338345865 0.1506110067
-0.5187969925 0.1418193491
-0.5037593985 0.1333268663
-0.4887218045 0.1251293857
-0.4736842105 0.1172228574
-0.4586466165 0.1096033543
-0.4436090226 0.1022670721
-0.4285714286 0.09521032903
-0.4135338346 0.08842956613
-0.3984962406 0.08192134719
-0.3834586466 0.07568235869
-0.3684210526 0.06970940984
-0.3533834586 0.06399943259
-0.3383458647 0.05854948158
-0.3233082707 0.0533567342
-0.3082706767 0.04841849054
-0.2932330827 0.04373217344
-0.2781954887 0.03929532844
-0.2631578947 0.03510562381
-0.2481203008 0.03116085054
-0.2330827068 0.02745892235
-0.2180451128 0.02399787567
-0.2030075188 0.02077586967
-0.1879699248 0.01779118623
-0.1729323308 0.01504222996
-0.1578947368 0.01252752818
-0.1428571429 0.01024573095
-0.1278195489 0.008195611029
-0.1127819549 0.006376063927
-0.0977443609 0.004786107859
-0.08270676692 0.003424883767
-0.06766917293 0.002291655314
-0.05263157895 0.001385808887
-0.03759398496 0.0007068535965
-0.02255639098 0.0002544212738
-0.007518796992 2.82664737e-05
0.007518796992 2.82664737e-05
0.02255639098 0.0002544212738
0.03759398496 0.0007068535965
0.05263157895 0.001385808887
0.06766917293 0.002291655314
0.08270676692 0.003424883767
0.0977443609 0.004786107859
0.1127819549 0.006376063927
0.1278195489 0.008195611029
0.1428571429 0.01024573095
0.1578947368 0.01252752818
0.1729323308 0.01504222996
0.1879699248 0.01779118623
0.2030075188 0.02077586967
0.2180451128 0.02399787567
0.2330827068 0.02745892235
0.2481203008 0.03116085054
0.2631578947 0.03510562381
0.2781954887 0.03929532844
0.2932330827 0.04373217344
0.3082706767 0.04841849054
0.3233082707 0.0533567342
0.3383458647 0.05854948158
0.3533834586 0.06399943259
0.3684210526 0.06970940984
0.3834586466 0.07568235869
0.3984962406 0.08192134719
0.4135338346 0.08842956613
0.4285714286 0.09521032903
0.4436090226 0.1022670721
0.4586466165 0.1096033543
0.4736842105 0.1172228574
0.4887218045 0.1251293857
0.5037593985 0.1333268663
0.5187969925 0.1418193491
0.5338345865 0.1506110067
0.5488721805 0.1597061344
0.5639097744 0.1691091501
0.5789473684 0.1788245947
0.5939849624 0.1888571315
0.6090225564 0.1992115467
0.6240601504 0.2098927493
0.6390977444 0.2209057709
0.6541353383 0.2322557659
0.6691729323 0.2439480112
0.6842105263 0.2559879068
0.6992481203 0.2683809751
0.7142857143 0.2811328613
0.7293233083 0.2942493335
0.7443609023 0.3077362823
0.7593984962 0.3215997211
0.7744360902 0.3358457861
0.7894736842 0.350480736
0.8045112782 0.3655109526
0.8195488722 0.38094294
0.8345864662 0.3967833254
0.8496240602 0.4130388584
0.8646616541 0.4297164116
0.8796992481 0.44682298
0.8947368421 0.4643656817
0.9097744361 0.4823517572
0.9248120301 0.5007885699
0.9398496241 0.519683606
0.954887218 0.5390444741
0.969924812 0.5588789059
0.984962406 0.5791947555
1 0.6
1.015037594 0.621302739
1.030075188 0.643111195
1.045112782 0.6654337131
1.060150376 0.6882787611
1.07518797 0.7116549297
1.090225564 0.7355709321
1.105263158 0.7600356044
1.120300752 0.7850579053
1.135338346 0.8106469163
1.15037594 0.8368118417
1.165413534 0.8635620082
1.180451128 0.8909068656
1.195488722 0.9188559863
1.210526316 0.9474190652
1.22556391 0.9766059203
1.240601504 1.006426492
1.255639098 1.036890844
1.270676692 1.068009161
1.285714286 1.099791753
1.30075188 1.132249052
1.315789474 1.16539161
1.330827068 1.199230105
1.345864662 1.233775337
1.360902256 1.269038228
1.37593985 1.305029823
1.390977444 1.34176129
1.406015038 1.379243919
1.421052632 1.417489123
1.436090226 1.456508439
1.45112782 1.496313524
1.466165414 1.536916161
1.481203008 1.578328254
1.496240602 1.620561829
1.511278195 1.663629035
1.526315789 1.707542146
1.541353383 1.752313556
1.556390977 1.797955782
1.571428571 1.844481466
1.586466165 1.89190337
1.601503759 1.940234381
1.616541353 1.989487506
1.631578947 2.039675877
1.646616541 2.090812749
1.661654135 2.142911497
1.676691729 2.195985623
1.691729323 2.250048746
1.706766917 2.305114614
1.721804511 2.361197092
1.736842105 2.418310173
1.751879699 2.476467968
1.766917293 2.535684713
1.781954887 2.595974768
1.796992481 2.657352613
1.812030075 2.719832853
1.827067669 2.783430213
1.842105263 2.848159545
1.857142857 2.914035818
1.872180451 2.98107413
1.887218045 3.049289697
1.902255639 3.118697859
1.917293233 3.18931408
1.932330827 3.261153945
1.947368421 3.334233163
1.962406015 3.408567565
1.977443609 3.484173105
1.992481203 3.56106586
2.007518797 3.639262028
2.022556391 3.718777933
2.037593985 3.799630019
2.052631579 3.881834854
2.067669173 3.965409127
2.082706767 4.050369653
2.097744361 4.136733365
2.112781955 4.224517324
2.127819549 4.31373871
2.142857143 4.404414827
2.157894737 4.496563102
2.172932331 4.590201084
2.187969925 4.685346444
2.203007519 4.782016979
2.218045113 4.880230605
2.233082707 4.980005363
2.248120301 5.081359415
2.263157895 5.184311047
2.278195489 5.288878668
2.293233083 5.395080809
2.308270677 5.502936123
2.323308271 5.612463388
2.338345865 5.723681502
2.353383459 5.836609487
2.368421053 5.951266488
2.383458647 6.067671773
2.398496241 6.185844732
2.413533835 6.305804877
2.428571429 6.427571845
2.443609023 6.551165393
2.458646617 6.676605404
2.473684211 6.803911879
2.488721805 6.933104947
2.503759398 7.064204856
2.518796992 7.197231978
2.533834586 7.332206808
2.54887218 7.469149963
2.563909774 7.608082183
2.578947368 7.749024332
2.593984962 7.891997395
2.609022556 8.03702248
2.62406015 8.184120818
2.639097744 8.333313762
2.654135338 8.484622791
2.669172932 8.638069501
2.684210526 8.793675616
2.69924812 8.95146298
2.714285714 9.111453561
2.729323308 9.273669448
2.744360902 9.438132854
2.759398496 9.604866115
2.77443609 9.773891689
2.789473684 9.945232158
2.804511278 10.11891022
2.819548872 10.29494871
2.834586466 10.47337058
2.84962406 10.65419888
2.864661654 10.83745683
2.879699248 11.02316774
2.894736842 11.21135504
2.909774436 11.4020423
2.92481203 11.59525321
2.939849624 11.79101157
2.954887218 11.98934131
2.969924812 12.19026649
2.984962406 12.39381129
3 12.6
