x U
0.7 0.26901
0.6611309774 0.2376522159
0.5032064868 0.1330202574
0.7504472757 0.3133017271
0.6914977038 0.2619491036
0.3302233172 0.05571285399
0.4660127144 0.1133001125
1.044060393 0.6638545907
1.328117814 1.193081702
0.7115374075 0.2787752401
-0.01106603497 6.123006457e-05
-0.3150789263 0.0506229121
-0.2555225326 0.0330721838
-1.363086827 1.274221366
-1.185136087 0.899549152
-1.573389134 1.850613132
-1.556358292 1.797855622
-1.455271906 1.507422756
-1.287658142 1.1039492
-0.8290013001 0.3908518932
-0.1914491605 0.01846073316
-0.231107306 0.02699056252
0.4666457134 0.1136209752
0.0798931567 0.003195532406
0.2424855625 0.02974535916
0.655311101 0.2331575587
0.6092224259 0.1993513602
0.161023501 0.013031513
-0.3100510953 0.04898997088
-0.4956532317 0.1288715424
-0.3224568318 0.05307035513
-0.7767625186 0.3380843354
-0.7635296642 0.3254750562
-0.728544319 0.2935608161
-0.3575985251 0.06557359776
-0.2073306693 0.0216777829
-0.00792683665 3.141776446e-05
-0.3272848868 0.0547050694
-0.3498254056 0.06268654015
0.07827653926 0.003067362577
0.8004891873 0.3614517469
0.06299575245 0.001985807285
0.7970924138 0.358045923
1.336473924 1.212118939
1.444276241 1.478078937
1.255911457 1.037448609
0.8563255612 0.4204186642
1.437706815 1.460749708
2.082864944 4.051270763
2.281803277 5.314208733
2.081989678 4.046286464
1.574042312 1.852659335
0.6060110532 0.1971119102
0.5204249108 0.1427565875
0.772813903 0.3342903848
0.0267558892 0.0003579900516
0.2171137498 0.02379139287
0.4011581914 0.08305372597
0.6909103489 0.2614655362
0.01207321782 7.288341898e-05
-0.3135423854 0.05012087627
-0.4882464801 0.1248750356
-0.9971537156 0.596024104
0.02220878562 0.0002466394071
-0.223402443 0.02520341311
-0.0348974169 0.0006090631642
-0.1573818465 0.01244587337
0.6374312035 0.2196687451
1.195349592 0.9185945993
1.280202368 1.088064307
-0.05362793426 0.001438804778
-0.02169629128 0.0002353866862
0.3158442162 0.05087394172
0.7682692499 0.3299568673
0.3515993977 0.06333931148
1.199920757 0.9272101434
0.3261262732 0.05431038282
-0.03875504042 0.0007512021655
0.4239774294 0.09310968321
0.3934736757 0.07980773744
1.32430078 1.184458096
