alpha beta logL
0.7916666667 -1.166666667 1.197761734
0.8333333333 -1.166666667 1.195779144
0.875 -1.166666667 1.193702131
0.9166666667 -1.166666667 1.191539185
0.9583333333 -1.166666667 1.189299611
1 -1.166666667 1.186993578
1.041666667 -1.166666667 1.184632189
1.083333333 -1.166666667 1.182227534
1.125 -1.166666667 1.179792759
1.166666667 -1.166666667 1.177342129
1.208333333 -1.166666667 1.174891088
1.25 -1.166666667 1.172456322
-1.25 -1.125 1.113164049
-1.208333333 -1.125 1.115191334
-1.166666667 -1.125 1.117427805
-1.125 -1.125 1.119841573
-1.083333333 -1.125 1.122402604
-1.041666667 -1.125 1.125082742
-1 -1.125 1.127855689
-0.9583333333 -1.125 1.130696984
-0.9166666667 -1.125 1.133583947
-0.875 -1.125 1.13649562
-0.8333333333 -1.125 1.139412698
-0.7916666667 -1.125 1.142317447
-0.75 -1.125 1.145193626
-0.7083333333 -1.125 1.148026401
-0.6666666667 -1.125 1.150802258
-0.625 -1.125 1.153508922
-0.5833333333 -1.125 1.156135268
-0.5416666667 -1.125 1.158671251
-0.5 -1.125 1.16110782
-0.4583333333 -1.125 1.163436851
-0.4166666667 -1.125 1.165651076
-0.375 -1.125 1.167744022
-0.3333333333 -1.125 1.169709947
-0.2916666667 -1.125 1.171543791
-0.25 -1.125 1.173241121
-0.2083333333 -1.125 1.174798087
-0.1666666667 -1.125 1.176211383
-0.125 -1.125 1.177478206
-0.08333333333 -1.125 1.178596227
-0.04166666667 -1.125 1.179563562
0 -1.125 1.180378747
0.04166666667 -1.125 1.181040716
0.08333333333 -1.125 1.181548788
0.125 -1.125 1.181902652
0.1666666667 -1.125 1.182102357
0.2083333333 -1.125 1.182148307
0.25 -1.125 1.18204126
0.2916666667 -1.125 1.181782327
0.3333333333 -1.125 1.181372979
0.375 -1.125 1.180815053
0.4166666667 -1.125 1.180110766
0.4583333333 -1.125 1.179262728
0.5 -1.125 1.178273959
0.5416666667 -1.125 1.177147918
0.5833333333 -1.125 1.17588852
0.625 -1.125 1.174500171
0.6666666667 -1.125 1.172987798
0.7083333333 -1.125 1.171356887
0.75 -1.125 1.169613521
0.7916666667 -1.125 1.167764426
0.8333333333 -1.125 1.165817018
0.875 -1.125 1.16377945
0.9166666667 -1.125 1.161660669
0.9583333333 -1.125 1.159470474
1 -1.125 1.15721957
1.041666667 -1.125 1.154919635
1.083333333 -1.125 1.15258338
1.125 -1.125 1.150224614
1.166666667 -1.125 1.14785831
1.208333333 -1.125 1.145500662
1.25 -1.125 1.143169152
-1.25 -1.083333333 1.08351383
-1.208333333 -1.083333333 1.085331084
-1.166666667 -1.083333333 1.087377261
-1.125 -1.083333333 1.08961915
-1.083333333 -1.083333333 1.092025408
-1.041666667 -1.083333333 1.094566593
-1 -1.083333333 1.097215161
-0.9583333333 -1.083333333 1.099945451
-0.9166666667 -1.083333333 1.102733638
-0.875 -1.083333333 1.105557681
-0.8333333333 -1.083333333 1.108397254
-0.7916666667 -1.083333333 1.111233671
-0.75 -1.083333333 1.1140498
-0.7083333333 -1.083333333 1.116829984
-0.6666666667 -1.083333333 1.119559952
-0.625 -1.083333333 1.122226729
-0.5833333333 -1.083333333 1.124818556
-0.5416666667 -1.083333333 1.127324807
-0.5 -1.083333333 1.129735904
-0.4583333333 -1.083333333 1.13204325
-0.4166666667 -1.083333333 1.134239149
-0.375 -1.083333333 1.136316746
-0.3333333333 -1.083333333 1.138269961
-0.2916666667 -1.083333333 1.140093432
-0.25 -1.083333333 1.141782464
-0.2083333333 -1.083333333 1.143332978
-0.1666666667 -1.083333333 1.14474147
-0.125 -1.083333333 1.146004971
-0.08333333333 -1.083333333 1.147121016
-0.04166666667 -1.083333333 1.148087607
0 -1.083333333 1.148903194
0.04166666667 -1.083333333 1.14956665
0.08333333333 -1.083333333 1.150077257
0.125 -1.083333333 1.150434685
0.1666666667 -1.083333333 1.15063899
0.2083333333 -1.083333333 1.150690603
0.25 -1.083333333 1.150590332
0.2916666667 -1.083333333 1.150339357
0.3333333333 -1.083333333 1.149939241
0.375 -1.083333333 1.149391935
0.4166666667 -1.083333333 1.148699792
0.4583333333 -1.083333333 1.14786558
0.5 -1.083333333 1.146892507
0.5416666667 -1.083333333 1.145784238
0.5833333333 -1.083333333 1.144544925
0.625 -1.083333333 1.143179238
0.6666666667 -1.083333333 1.141692397
0.7083333333 -1.083333333 1.140090213
0.75 -1.083333333 1.138379129
0.7916666667 -1.083333333 1.136566261
0.8333333333 -1.083333333 1.134659455
0.875 -1.083333333 1.132667332
0.9166666667 -1.083333333 1.130599349
0.9583333333 -1.083333333 1.128465854
1 -1.083333333 1.126278149
1.041666667 -1.083333333 1.12404855
1.083333333 -1.083333333 1.121790456
1.125 -1.083333333 1.119518409
1.166666667 -1.083333333 1.117248162
1.208333333 -1.083333333 1.114996736
1.25 -1.083333333 1.112782484
-1.25 -1.041666667 1.052796729
-1.208333333 -1.041666667 1.054376659
-1.166666667 -1.041666667 1.056207406
-1.125 -1.041666667 1.05825435
-1.083333333 -1.041666667 1.060484742
-1.041666667 -1.041666667 1.062867749
-1 -1.041666667 1.06537447
-0.9583333333 -1.041666667 1.06797793
-0.9166666667 -1.041666667 1.070653049
-0.875 -1.041666667 1.073376589
-0.8333333333 -1.041666667 1.076127096
-0.7916666667 -1.041666667 1.078884823
-0.75 -1.041666667 1.081631651
-0.7083333333 -1.041666667 1.084351006
-0.6666666667 -1.041666667 1.087027765
-0.625 -1.041666667 1.089648178
-0.5833333333 -1.041666667 1.092199768
-0.5416666667 -1.041666667 1.094671259
-0.5 -1.041666667 1.097052482
-0.4583333333 -1.041666667 1.099334303
-0.4166666667 -1.041666667 1.101508549
-0.375 -1.041666667 1.103567931
-0.3333333333 -1.041666667 1.105505987
-0.2916666667 -1.041666667 1.107317016
-0.25 -1.041666667 1.108996023
-0.2083333333 -1.041666667 1.110538672
-0.1666666667 -1.041666667 1.111941236
-0.125 -1.041666667 1.113200556
-0.08333333333 -1.041666667 1.11431401
-0.04166666667 -1.041666667 1.115279474
0 -1.041666667 1.116095299
0.04166666667 -1.041666667 1.11676029
0.08333333333 -1.041666667 1.117273681
0.125 -1.041666667 1.117635125
0.1666666667 -1.041666667 1.117844683
0.2083333333 -1.041666667 1.117902818
0.25 -1.041666667 1.11781039
0.2916666667 -1.041666667 1.11756866
0.3333333333 -1.041666667 1.117179291
0.375 -1.041666667 1.116644364
0.4166666667 -1.041666667 1.115966385
0.4583333333 -1.041666667 1.115148302
0.5 -1.041666667 1.114193529
0.5416666667 -1.041666667 1.113105966
0.5833333333 -1.041666667 1.111890033
0.625 -1.041666667 1.110550694
0.6666666667 -1.041666667 1.109093502
0.7083333333 -1.041666667 1.10752463
0.75 -1.041666667 1.105850922
0.7916666667 -1.041666667 1.104079938
0.8333333333 -1.041666667 1.102220001
0.875 -1.041666667 1.100280259
0.9166666667 -1.041666667 1.098270735
0.9583333333 -1.041666667 1.096202392
1 -1.041666667 1.094087195
1.041666667 -1.041666667 1.091938173
1.083333333 -1.041666667 1.089769485
1.125 -1.041666667 1.087596486
1.166666667 -1.041666667 1.085435788
1.208333333 -1.041666667 1.083305326
1.25 -1.041666667 1.081224406
-1.25 -1 1.020948867
-1.208333333 -1 1.022260208
-1.166666667 -1 1.023846674
-1.125 -1 1.025672155
-1.083333333 -1 1.027702393
-1.041666667 -1 1.029905052
-1 -1 1.032249757
-0.9583333333 -1 1.034708097
-0.9166666667 -1 1.03725361
-0.875 -1 1.039861739
-0.8333333333 -1 1.04250978
-0.7916666667 -1 1.045176808
-0.75 -1 1.047843603
-0.7083333333 -1 1.050492563
-0.6666666667 -1 1.053107618
-0.625 -1 1.055674139
-0.5833333333 -1 1.05817885
-0.5416666667 -1 1.060609739
