alpha beta logL
0.7916666667 -1.166666667 1.913034349
0.8333333333 -1.166666667 1.913006329
0.875 -1.166666667 1.912978348
0.9166666667 -1.166666667 1.912950743
0.9583333333 -1.166666667 1.912923899
1 -1.166666667 1.912898251
1.041666667 -1.166666667 1.912874292
1.083333333 -1.166666667 1.912852577
1.125 -1.166666667 1.912833728
1.166666667 -1.166666667 1.91281844
1.208333333 -1.166666667 1.912807489
1.25 -1.166666667 1.912801734
-1.25 -1.125 1.890327387
-1.208333333 -1.125 1.89032651
-1.166666667 -1.125 1.890332788
-1.125 -1.125 1.89034508
-1.083333333 -1.125 1.890362351
-1.041666667 -1.125 1.890383668
-1 -1.125 1.890408196
-0.9583333333 -1.125 1.890435185
-0.9166666667 -1.125 1.89046397
-0.875 -1.125 1.890493959
-0.8333333333 -1.125 1.890524633
-0.7916666667 -1.125 1.890555536
-0.75 -1.125 1.89058627
-0.7083333333 -1.125 1.890616493
-0.6666666667 -1.125 1.890645909
-0.625 -1.125 1.890674269
-0.5833333333 -1.125 1.890701361
-0.5416666667 -1.125 1.890727011
-0.5 -1.125 1.890751074
-0.4583333333 -1.125 1.890773434
-0.4166666667 -1.125 1.890794
-0.375 -1.125 1.890812701
-0.3333333333 -1.125 1.890829484
-0.2916666667 -1.125 1.890844314
-0.25 -1.125 1.890857165
-0.2083333333 -1.125 1.890868025
-0.1666666667 -1.125 1.89087689
-0.125 -1.125 1.890883763
-0.08333333333 -1.125 1.890888652
-0.04166666667 -1.125 1.890891572
0 -1.125 1.890892538
0.04166666667 -1.125 1.890891571
0.08333333333 -1.125 1.890888692
0.125 -1.125 1.890883926
0.1666666667 -1.125 1.890877298
0.2083333333 -1.125 1.890868839
0.25 -1.125 1.890858579
0.2916666667 -1.125 1.890846554
0.3333333333 -1.125 1.890832804
0.375 -1.125 1.890817376
0.4166666667 -1.125 1.890800324
0.4583333333 -1.125 1.890781709
0.5 -1.125 1.890761608
0.5416666667 -1.125 1.890740108
0.5833333333 -1.125 1.890717313
0.625 -1.125 1.890693345
0.6666666667 -1.125 1.890668351
0.7083333333 -1.125 1.890642499
0.75 -1.125 1.890615987
0.7916666667 -1.125 1.890589048
0.8333333333 -1.125 1.890561947
0.875 -1.125 1.890534993
0.9166666667 -1.125 1.890508538
0.9583333333 -1.125 1.890482985
1 -1.125 1.890458791
1.041666667 -1.125 1.890436474
1.083333333 -1.125 1.890416617
1.125 -1.125 1.890399874
1.166666667 -1.125 1.890386976
1.208333333 -1.125 1.890378739
1.25 -1.125 1.890376066
-1.25 -1.083333333 1.866300536
-1.208333333 -1.083333333 1.866296269
-1.166666667 -1.083333333 1.866299599
-1.125 -1.083333333 1.866309329
-1.083333333 -1.083333333 1.866324375
-1.041666667 -1.083333333 1.866343761
-1 -1.083333333 1.866366611
-0.9583333333 -1.083333333 1.866392141
-0.9166666667 -1.083333333 1.866419654
-0.875 -1.083333333 1.866448533
-0.8333333333 -1.083333333 1.866478234
-0.7916666667 -1.083333333 1.86650828
-0.75 -1.083333333 1.866538259
-0.7083333333 -1.083333333 1.86656781
-0.6666666667 -1.083333333 1.866596629
-0.625 -1.083333333 1.866624453
-0.5833333333 -1.083333333 1.866651063
-0.5416666667 -1.083333333 1.866676279
-0.5 -1.083333333 1.866699949
-0.4583333333 -1.083333333 1.866721955
-0.4166666667 -1.083333333 1.866742201
-0.375 -1.083333333 1.866760614
-0.3333333333 -1.083333333 1.866777141
-0.2916666667 -1.083333333 1.866791744
-0.25 -1.083333333 1.866804398
-0.2083333333 -1.083333333 1.866815091
-0.1666666667 -1.083333333 1.866823818
-0.125 -1.083333333 1.866830583
-0.08333333333 -1.083333333 1.866835395
-0.04166666667 -1.083333333 1.866838268
0 -1.083333333 1.866839219
0.04166666667 -1.083333333 1.866838267
0.08333333333 -1.083333333 1.866835436
0.125 -1.083333333 1.86683075
0.1666666667 -1.083333333 1.866824236
0.2083333333 -1.083333333 1.866815922
0.25 -1.083333333 1.866805841
0.2916666667 -1.083333333 1.866794029
0.3333333333 -1.083333333 1.866780526
0.375 -1.083333333 1.866765379
0.4166666667 -1.083333333 1.866748645
0.4583333333 -1.083333333 1.866730386
0.5 -1.083333333 1.866710682
0.5416666667 -1.083333333 1.866689621
0.5833333333 -1.083333333 1.866667313
0.625 -1.083333333 1.866643884
0.6666666667 -1.083333333 1.866619487
0.7083333333 -1.083333333 1.866594299
0.75 -1.083333333 1.866568527
0.7916666667 -1.083333333 1.866542414
0.8333333333 -1.083333333 1.866516239
0.875 -1.083333333 1.866490328
0.9166666667 -1.083333333 1.866465049
0.9583333333 -1.083333333 1.866440829
1 -1.083333333 1.866418148
1.041666667 -1.083333333 1.866397552
1.083333333 -1.083333333 1.866379657
1.125 -1.083333333 1.866365153
1.166666667 -1.083333333 1.866354811
1.208333333 -1.083333333 1.866349492
1.25 -1.083333333 1.866350152
-1.25 -1.041666667 1.840589498
-1.208333333 -1.041666667 1.840581531
-1.166666667 -1.041666667 1.84058166
-1.125 -1.041666667 1.840588625
-1.083333333 -1.041666667 1.840601285
-1.041666667 -1.041666667 1.840618615
-1 -1.041666667 1.840639692
-0.9583333333 -1.041666667 1.840663693
-0.9166666667 -1.041666667 1.840689887
-0.875 -1.041666667 1.840717626
-0.8333333333 -1.041666667 1.840746338
-0.7916666667 -1.041666667 1.840775524
-0.75 -1.041666667 1.840804751
-0.7083333333 -1.041666667 1.840833643
-0.6666666667 -1.041666667 1.840861879
-0.625 -1.041666667 1.840889186
-0.5833333333 -1.041666667 1.840915337
-0.5416666667 -1.041666667 1.84094014
-0.5 -1.041666667 1.84096344
-0.4583333333 -1.041666667 1.840985113
-0.4166666667 -1.041666667 1.84100506
-0.375 -1.041666667 1.841023205
-0.3333333333 -1.041666667 1.841039493
-0.2916666667 -1.041666667 1.841053885
-0.25 -1.041666667 1.841066356
-0.2083333333 -1.041666667 1.841076893
-0.1666666667 -1.041666667 1.841085491
-0.125 -1.041666667 1.841092156
-0.08333333333 -1.041666667 1.841096896
-0.04166666667 -1.041666667 1.841099725
0 -1.041666667 1.841100661
0.04166666667 -1.041666667 1.841099725
0.08333333333 -1.041666667 1.841096939
0.125 -1.041666667 1.841092328
0.1666666667 -1.041666667 1.84108592
0.2083333333 -1.041666667 1.841077744
0.25 -1.041666667 1.841067832
0.2916666667 -1.041666667 1.841056221
0.3333333333 -1.041666667 1.841042952
0.375 -1.041666667 1.841028073
0.4166666667 -1.041666667 1.841011642
0.4583333333 -1.041666667 1.840993725
0.5 -1.041666667 1.840974401
0.5416666667 -1.041666667 1.840953764
0.5833333333 -1.041666667 1.840931929
0.625 -1.041666667 1.840909027
0.6666666667 -1.041666667 1.840885218
0.7083333333 -1.041666667 1.840860687
0.75 -1.041666667 1.840835654
0.7916666667 -1.041666667 1.840810373
0.8333333333 -1.041666667 1.840785141
0.875 -1.041666667 1.840760297
0.9166666667 -1.041666667 1.840736236
0.9583333333 -1.041666667 1.840713404
1 -1.041666667 1.840692313
1.041666667 -1.041666667 1.840673539
1.083333333 -1.041666667 1.840657735
1.125 -1.041666667 1.840645632
1.166666667 -1.041666667 1.840638048
1.208333333 -1.041666667 1.840635895
1.25 -1.041666667 1.840640187
-1.25 -1 1.81309851
-1.208333333 -1 1.813086473
-1.166666667 -1 1.813083097
-1.125 -1 1.81308705
-1.083333333 -1 1.813097128
-1.041666667 -1 1.813112245
-1 -1 1.813131431
-0.9583333333 -1 1.813153815
-0.9166666667 -1 1.813178626
-0.875 -1 1.813205181
-0.8333333333 -1 1.813232878
-0.7916666667 -1 1.813261191
-0.75 -1 1.813289663
-0.7083333333 -1 1.813317901
-0.6666666667 -1 1.813345566
-0.625 -1 1.813372373
-0.5833333333 -1 1.813398082
-0.5416666667 -1 1.813422493
-0.5 -1 1.813445443
-0.4583333333 -1 1.813466804
-0.4166666667 -1 1.81348647
-0.375 -1 1.813504366
-0.3333333333 -1 1.813520431
-0.2916666667 -1 1.813534627
-0.25 -1 1.813546928
-0.2083333333 -1 1.81355732
-0.1666666667 -1 1.813565799
-0.125 -1 1.81357237
-0.08333333333 -1 1.813577042
-0.04166666667 -1 1.81357983
0 -1 1.813580752
0.04166666667 -1 1.81357983
0.08333333333 -1 1.813577087
0.125 -1 1.813572548
0.1666666667 -1 1.81356624
0.2083333333 -1 1.813558194
0.25 -1 1.813548442
0.2916666667 -1 1.813537021
0.3333333333 -1 1.813523975
0.375 -1 1.813509352
0.4166666667 -1 1.813493211
0.4583333333 -1 1.813475621
0.5 -1 1.813456664
0.5416666667 -1 1.81343644
0.5833333333 -1 1.813415065
0.625 -1 1.813392681
0.6666666667 -1 1.813369455
0.7083333333 -1 1.813345582
0.75 -1 1.813321293
0.7916666667 -1 1.813296859
0.8333333333 -1 1.813272592
0.875 -1 1.813248855
0.9166666667 -1 1.813226064
0.9583333333 -1 1.813204696
1 -1 1.813185291
1.041666667 -1 1.813168466
1.083333333 -1 1.813154912
1.125 -1 1.813145409
1.166666667 -1 1.813140827
1.208333333 -1 1.813142139
1.25 -1 1.813150422
-1.25 -0.9583333333 1.783717947
-1.208333333 -0.9583333333 1.783701397
-1.166666667 -0.9583333333 1.783694151
-1.125 -0.9583333333 1.783694794
-1.083333333 -0.9583333333 1.783702048
-1.041666667 -0.9583333333 1.783714763
-1 -0.9583333333 1.783731908
-0.9583333333 -0.9583333333 1.783752562
-0.9166666667 -0.9583333333 1.783775906
-0.875 -0.9583333333 1.783801218
-0.8333333333 -0.9583333333 1.78382786
-0.7916666667 -0.9583333333 1.783855277
-0.75 -0.9583333333 1.783882985
-0.7083333333 -0.9583333333 1.783910568
-0.6666666667 -0.9583333333 1.783937669
-0.625 -0.9583333333 1.783963988
-0.5833333333 -0.9583333333 1.78398927
-0.5416666667 -0.9583333333 1.784013306
-0.5 -0.9583333333 1.784035926
-0.4583333333 -0.9583333333 1.784056993
-0.4166666667 -0.9583333333 1.784076398
-0.375 -0.9583333333 1.784094061
-0.3333333333 -0.9583333333 1.78410992
-0.2916666667 -0.9583333333 1.784123935
-0.25 -0.9583333333 1.784136077
-0.2083333333 -0.9583333333 1.784146335
-0.1666666667 -0.9583333333 1.784154703
-0.125 -0.9583333333 1.784161186
-0.08333333333 -0.9583333333 1.784165795
-0.04166666667 -0.9583333333 1.784168545
0 -0.9583333333 1.784169455
0.04166666667 -0.9583333333 1.784168546
0.08333333333 -0.9583333333 1.784165843
0.125 -0.9583333333 1.784161371
0.1666666667 -0.9583333333 1.784155158
0.2083333333 -0.9583333333 1.784147234
0.25 -0.9583333333 1.784137633
0.2916666667 -0.9583333333 1.784126394
0.3333333333 -0.9583333333 1.78411356
0.375 -0.9583333333 1.784099181
0.4166666667 -0.9583333333 1.784083318
0.4583333333 -0.9583333333 1.784066043
0.5 -0.9583333333 1.784047443
0.5416666667 -0.9583333333 1.78402762
0.5833333333 -0.9583333333 1.784006699
0.625 -0.9583333333 1.783984828
0.6666666667 -0.9583333333 1.783962184
0.7083333333 -0.9583333333 1.783938973
0.75 -0.9583333333 1.783915442
0.7916666667 -0.9583333333 1.783891878
0.8333333333 -0.9583333333 1.783868613
0.875 -0.9583333333 1.783846034
0.9166666667 -0.9583333333 1.783824585
